"According to the mother, her son had been hospitalized for 2 weeks because of  suspected meningitis when he was four years old"
"The uncle mentioned that his nephew had been under observation for 4 days due to a suspected allergy when he was nine years old"
"As per the uncle, his niece had been in recovery for 10 days following a diagnosed concussion when she was ten years old"
"According to the guardian, her nephew had undergone surgery for appendicitis for 1 week when he was seven years old"
"The father reported that his daughter was treated for pneumonia for 3 days when she was six years old"
"According to the caregiver, her patient was evaluated for suspected diabetes for 10 days when he was nine years old"
"The mother mentioned that her son had been monitored for 7 days for suspected bronchitis when he was three years old"
"According to the aunt, her niece had been receiving therapy for 2 weeks following a diagnosed fracture when she was eight years old"
"The grandmother stated that her granddaughter had been on medication for 5 days due to a suspected ear infection when she was five years old"
"As per the caregiver, her patient was treated for food poisoning for 4 days when he was ten years old"
