Text,Entities
"The individual mentions that both aunts had a history of smoking, where ""aunts"" and ""individual"" are (Person); ""history of smoking"" is (Finding) and ""history"" a (Severity Qualifier) and refers to ""aunts"" (Person).",individual : (Person); aunts : (Person); history of smoking : (Finding); history : (Severity Qualifier)
"The patient indicates that both aunts had a history of smoking, where ""aunts"" and ""Patient"" are (Person); ""history of smoking"" is (Finding) and ""history"" a (Severity Qualifier) and refers to ""aunts"" (Person).",Patient: (Person); aunts: (Person); history of smoking: (Finding); history: (Severity Qualifier)
"The individual states that both aunts had a history of smoking where ""aunts"" and ""Individual"" are (Person); ""history of smoking"" is (Finding) and ""history"" a (Severity Qualifier) and refers to ""aunts"" (Person)",aunts : (Person); Individual : (Person); history of smoking : (Finding); history : (Severity Qualifier)
"The subject mentions that his grandfather suffered from hypertension where ""grandfather"" and ""Subject"" are (Person); ""suffered from hypertension"" is (Finding) and ""suffered"" a (Severity Qualifier) and refers to ""grandfather"" (Person)",grandfather : (Person); Subject : (Person); suffered from hypertension : (Finding); suffered : (Severity Qualifier)
"The woman indicates that her mother was diagnosed with diabetes where ""mother"" and ""Woman"" are (Person); ""diagnosed with diabetes"" is (Finding) and ""diagnosed"" a (Severity Qualifier) and refers to ""mother"" (Person)",mother : (Person); Woman : (Person); diagnosed with diabetes : (Finding); diagnosed : (Severity Qualifier)
"The child reveals that both grandparents were asthmatic where ""grandparents"" and ""Child"" are (Person); ""were asthmatic"" is (Finding) and ""were"" a (Severity Qualifier) and refers to ""grandparents"" (Person)",grandparents : (Person); Child : (Person); were asthmatic : (Finding); were : (Severity Qualifier)
"The patient mentions that both aunts had a history of smoking where ""aunts"" and ""Patient"" are (Person); ""history of smoking"" is (Finding) and ""history"" a (Severity Qualifier) and refers to ""aunts"" (Person)",Patient: (Person); aunts: (Person); history of smoking: (Finding); history: (Severity Qualifier)
"The patient indicates that his grandfather suffered from heart disease where ""grandfather"" and ""Patient"" are (Person); ""suffered from heart disease"" is (Finding) and ""suffered"" a (Severity Qualifier) and refers to ""grandfather"" (Person)",Patient: (Person); grandfather: (Person); suffered from heart disease: (Finding); suffered: (Severity Qualifier)
"The patient states that her mother had diabetes and hypertension where ""mother"" and ""Patient"" are (Person); ""diabetes and hypertension"" is (Finding) and ""diabetes"" a (Severity Qualifier) and refers to ""mother"" (Person)",Patient: (Person); mother: (Person); diabetes and hypertension: (Finding); diabetes: (Severity Qualifier)
"The patient reveals that both grandparents experienced strokes where ""grandparents"" and ""Patient"" are (Person); ""experienced strokes"" is (Finding) and ""experienced"" a (Severity Qualifier) and refers to ""grandparents"" (Person)",Patient: (Person); grandparents: (Person); experienced strokes: (Finding); experienced: (Severity Qualifier)
"The patient states that both aunts had a history of depression, where ""aunts"" and ""Patient"" are (Person); ""history of depression"" is (Finding) and ""history"" a (Severity Qualifier) and refers to ""aunts"" (Person)",Patient : (Person); aunts : (Person); history of depression : (Finding); history : (Severity Qualifier)
