Text,Entities
"""The patient disclosed that her mother was a heavy drinker and her father has a history of chronic alcoholism.""",Patient : (Person); mother : (Person); father : (Person); heavy drinker : (Finding); chronic alcoholism : (Finding)
"""The patient reported that his siblings were all regular drinkers, with one brother suffering from liver disease due to alcohol consumption.""",Patient : (Person); siblings : (Person); brother : (Person); regular drinkers : (Finding); liver disease : (Finding)
"""The patient mentioned that her husband has a long history of drug use, specifically mentioning that he used to be a habitual user of marijuana.""",Patient : (Person); husband : (Person); long history of drug use : (Finding); habitual user of marijuana : (Finding)
"""The patient noted that her father has been a heavy user of prescription medications, which contributed to his recent health issues.""",Patient : (Person); father : (Person); heavy user of prescription medications : (Finding); health issues : (Finding)
"""The patient indicated that her mother was a frequent user of over-the-counter medications, leading to concerns about dependency.""",Patient : (Person); mother : (Person); frequent user of over-the-counter medications : (Finding); dependency : (Finding)
"""The patient disclosed that her mother was a regular user of tobacco products, while her father occasionally smoked cigars.""","Patient: (Person); mother: (Person); father: (Person); ""regular user of tobacco products"": (Finding); ""regular"": (Severity Qualifier) and refers to ""mother"": (Person)"
"""The patient has a history of exposure to second-hand smoke due to living with a partner who smokes 20 cigarettes daily.""","Patient: (Person); partner: (Person); ""second-hand smoke"": (Finding); ""daily"": (Severity Qualifier) and refers to ""20 cigarettes"": (Finding)"
"""The patient noted that her uncle had a long-term smoking habit, which she believes contributed to his respiratory issues.""","Patient: (Person); uncle: (Person); ""long-term smoking habit"": (Finding); ""long-term"": (Severity Qualifier) and refers to ""smoking habit"": (Finding)"
"""The patient’s mother was a heavy smoker and passed away from lung cancer while the father occasionally smoked cigars. The patient herself has never engaged in smoking but has been exposed to secondhand smoke in her childhood home.""",Patient : (Person); mother : (Person); father : (Person); heavy smoker : (Finding); lung cancer : (Finding); secondhand smoke : (Finding)
"""Despite the patient having no history of smoking, she lives with her partner, who smokes a pack of cigarettes daily, and their two children, who have both taken up smoking in their teens.""",patient : (Person); partner : (Person); children : (Person); pack of cigarettes : (Finding)
"""The patient's brother was a frequent user of marijuana, and during family gatherings, the patient has witnessed her relatives smoking in closed spaces, raising her concerns about exposure to harmful substances.""",patient : (Person); brother : (Person); marijuana : (Finding); harmful substances : (Finding)
"""The patient reported that both siblings are occasional smokers, and she has a strong family history of lung disease.""",Patient : (Person); siblings : (Person); occasional smokers : (Finding); strong : (Severity Qualifier) and refers to siblings : (Person)
"""The patient has never smoked, but lives in a small apartment with her partner, who smokes about 20 cigarettes a day, along with their two children, both of whom have taken up smoking.""",Patient : (Person); partner : (Person); 20 cigarettes a day : (Finding); small : (Severity Qualifier) and refers to apartment : (Finding)
"""The father was a heavy drinker, but the family denied any substance abuse in the household, although they acknowledged exposure to secondhand smoke from visiting relatives.""",father : (Person); heavy drinker : (Finding); family : (Person); secondhand smoke : (Finding); visiting relatives : (Person)
"""The patient disclosed that her mother used to smoke a pack of cigarettes daily, leading to a family history of respiratory issues.""","Patient : (Person); mother : (Person); cigarettes : (Finding); daily : (Severity Qualifier) and refers to ""smoke"" (Finding)"
"""The patient has a long-standing issue with asthma, exacerbated by her partner's habit of smoking 15 cigarettes each day.""","Patient : (Person); partner : (Person); smoking : (Finding); 15 : (Severity Qualifier) and refers to ""cigarettes"" (Finding)"
"""The patient reported that her brother was a heavy user of tobacco products, which contributed to his chronic lung condition.""","Patient : (Person); brother : (Person); heavy : (Severity Qualifier) and refers to ""user"" (Finding); tobacco products : (Finding)"
"""The patient indicated that her father had been a lifelong smoker, which raised concerns about her own health risks.""","Patient : (Person); father : (Person); lifelong : (Severity Qualifier) and refers to ""smoker"" (Finding)"
"""The patient reports a family history of heavy alcohol consumption, noting that her brother and sister were both heavy drinkers.""",Patient : (Person); brother : (Person); sister : (Person); heavy drinkers : (Finding); heavy : (Severity Qualifier); refers to : (Person)
"""The patient disclosed that his father had a long-standing issue with drug abuse, particularly heroin, while his mother had a history of excessive alcohol use.""",patient : (Person); father : (Person); mother : (Person); drug abuse : (Finding); heroin : (Finding); excessive alcohol use : (Finding)
"""The patient mentioned that her husband, a heavy drinker, often hosts parties where alcohol is consumed in large quantities.""",patient : (Person); husband : (Person); heavy drinker : (Finding); large quantities : (Finding)
"""The patient revealed that her mother was an occasional smoker, while her father consumed alcohol regularly, which raised concerns about the family history of addiction.""",Patient: (Person); mother: (Person); father: (Person); occasional smoker: (Finding); regular: (Severity Qualifier) referring to father (Person)
"""The patient has a long-standing history of secondhand smoke exposure due to her partner, who smokes 15 cigarettes daily, affecting her respiratory health.""",Patient: (Person); partner: (Person); secondhand smoke exposure: (Finding); daily: (Severity Qualifier) referring to partner (Person)
"""The patient stated that her brother was a heavy drinker, and her sister reported occasional binge drinking during social gatherings.""",Patient: (Person); brother: (Person); heavy drinker: (Finding); sister: (Person); occasional binge drinking: (Finding); social gatherings: (Finding)
"""The patient has a family history of heavy smoking, with her sister being a regular smoker for over a decade, leading to various respiratory issues.""",Patient : (Person); sister : (Person); heavy smoking : (Finding); regular : (Severity Qualifier) and refers to sister : (Person)
"""The patient resides with her husband, who smokes a pack of cigarettes daily, and their son, who started smoking at a young age.""",Patient : (Person); husband : (Person); son : (Person); cigarettes : (Finding); smoking : (Finding)
"""The father of the patient occasionally uses cannabis, while the patient and her mother have never engaged in smoking activities.""",father : (Person); patient : (Person); mother : (Person); cannabis : (Finding); smoking activities : (Finding)
"""The patient disclosed that both grandparents were frequent tobacco users and her uncle suffered from lung cancer.""",Patient : (Person); grandparents : (Person); uncle : (Person); frequent tobacco users : (Finding); frequent : (Severity Qualifier) and refers to grandparents : (Person)
"""The patient has never consumed alcohol, but resides with her partner who drinks heavily, and they have two children who occasionally drink.""",Patient : (Person); partner : (Person); children : (Person); drinks heavily : (Finding); heavily : (Severity Qualifier) and refers to partner : (Person)
"""The patient mentioned a history of drug use in her family, particularly her brother who struggled with addiction.""",Patient : (Person); brother : (Person); drug use : (Finding); struggled : (Severity Qualifier) and refers to brother : (Person)
"""The patient has a family history of heavy drinking, with both siblings struggling with alcohol addiction.""",Patient : (Person); siblings : (Person); heavy drinking : (Finding); heavy : (Severity Qualifier) and refers to siblings : (Person)
"""The patient reports that her mother was a heavy user of prescription opioids, which led to a significant impact on her health.""",Patient : (Person); mother : (Person); heavy user : (Finding); heavy : (Severity Qualifier) and refers to mother : (Person)
"""The patient mentioned that his father was a heavy consumer of fast food, which resulted in obesity in the family.""",Patient : (Person); father : (Person); heavy consumer : (Finding); heavy : (Severity Qualifier) and refers to father : (Person)
"""The patient recalls that his uncle was a heavy gambler, causing financial stress in the family for years.""",Patient : (Person); uncle : (Person); heavy gambler : (Finding); heavy : (Severity Qualifier) and refers to uncle : (Person)
The patient states that her father had a long history of alcohol abuse and her mother was diagnosed with depression.,patient : (Person); father : (Person); mother : (Person); alcohol abuse : (Finding); depression : (Finding)
The patient states that her mother was a heavy drinker and her father had a history of alcoholism.,"patient : (Person); mother : (Person); father : (Person); heavy drinker : (Finding); alcoholism : (Finding); heavy : (Severity Qualifier) and refers to ""mother"" (Person)"
The patient mentions that her father was a heavy drinker and her mother had a history of lung disease.,patient : (Person); father : (Person); mother : (Person); heavy drinker : (Finding); lung disease : (Finding)
The patient indicated that he had a sister who was a chain smoker and passed away from lung cancer.,patient : (Person); sister : (Person); chain smoker : (Finding); lung cancer : (Finding)
The patient disclosed that both her grandparents were avid smokers and had health issues related to their habits.,patient : (Person); grandparents : (Person); avid smokers : (Finding)
The patient reported that his mother was a former heavy smoker and his father suffered from chronic bronchitis.,patient : (Person); mother : (Person); father : (Person); heavy smoker : (Finding); chronic bronchitis : (Finding)
The patient states that her sister was a heavy drinker and her father struggled with alcoholism.,"patient : (Person); sister : (Person); father : (Person); heavy drinker : (Finding); alcoholism : (Finding); heavy : (Severity Qualifier) and refers to ""sister"" (Person)"
The patient mentions that his mother had a history of diabetes and that his grandmother suffered from hypertension.,patient : (Person); mother : (Person); grandmother : (Person); diabetes : (Finding); hypertension : (Finding)
"The patient reveals that both siblings are avid runners, but he has never been athletic.",patient : (Person); siblings : (Person); avid runners : (Finding)
The patient describes that her uncle was diagnosed with heart disease and her aunt had a stroke.,patient : (Person); uncle : (Person); aunt : (Person); heart disease : (Finding); stroke : (Finding)
The patient indicates that both siblings were long-term drinkers.,patient : (Person); siblings : (Person); long-term drinkers : (Finding); long-term : (Severity Qualifier) and refers to siblings : (Person)
The patient has a background of chronic alcohol use and the death of a sister due to liver disease.,patient : (Person); sister : (Person); chronic alcohol use : (Finding); chronic : (Severity Qualifier) and refers to alcohol use : (Finding)
The patient is a 34-year-old woman who experienced asthma as a child and has never consumed alcohol.,patient : (Person); woman : (Person); asthma : (Finding)
The patient reports that both grandparents had a significant history of heart disease.,patient : (Person); grandparents : (Person); significant history of heart disease : (Finding); significant : (Severity Qualifier) and refers to history of heart disease : (Finding)
The patient has never used drugs but shares a home with a partner who is an occasional user.,patient : (Person); partner : (Person); occasional user : (Finding); occasional : (Severity Qualifier) and refers to user : (Finding)
"The patient, a 45-year-old woman, reports a background of infrequent exercise and a brother who passed away from heart disease.",patient : (Person); siblings : (Person); occasional drinkers : (Finding); occasional : (Severity Qualifier); mother : (Person); moderate drinker : (Finding); 45-year-old woman : (Person); brother : (Person); heart disease : (Finding); infrequent exercise : (Finding)
The patient states that her mother struggled with alcoholism while her father was a casual drinker.,patient: (Person); mother: (Person); father: (Person); alcoholism: (Finding); casual drinker: (Finding)
"The patient indicates a family history of diabetes, with his sister diagnosed at 30 and his father managing it since his 50s.",patient: (Person); sister: (Person); father: (Person); diabetes: (Finding)
"The patient reveals that both her grandparents suffered from heart disease, with her grandfather having a severe case that required surgery.",patient: (Person); grandparents: (Person); grandfather: (Person); heart disease: (Finding); severe: (Severity Qualifier)
"The patient has mentioned that her uncle was diagnosed with severe asthma, which significantly affected his quality of life.",patient: (Person); uncle: (Person); asthma: (Finding); severe: (Severity Qualifier)
The patient indicates that her mother was a heavy drinker while her father had a history of lung disease.,"patient : (Person); mother : (Person); father : (Person); heavy drinker : (Finding); heavy : (Severity Qualifier) and refers to ""mother"" (Person)"
The patient indicates that their mother was a heavy drinker and their father had a history of lung disease.,patient : (Person); mother : (Person); father : (Person); heavy drinker : (Finding); heavy : (Severity Qualifier) and refers to mother : (Person); lung disease : (Finding)
"The patient, a 45-year-old woman, stated that her father was a chain smoker and her brother passed away from heart failure.",patient : (Person); father : (Person); brother : (Person); chain smoker : (Finding); heart failure : (Finding)
The patient reveals that their sister had a long history of drug abuse and their uncle died from liver cancer.,patient : (Person); sister : (Person); uncle : (Person); drug abuse : (Finding); liver cancer : (Finding)
The patient shared that both grandparents were alcoholics and their aunt suffered from chronic obstructive pulmonary disease.,patient : (Person); grandparents : (Person); aunt : (Person); alcoholics : (Finding); chronic obstructive pulmonary disease : (Finding)
The patient mentions that her mother was a heavy drinker and her father had a history of heart disease.,patient : (Person); mother : (Person); father : (Person); heavy drinker : (Finding); heart disease : (Finding)
The individual states that her uncle suffered from hypertension and she has a brother who was diagnosed with high cholesterol at age 25.,individual : (Person); uncle : (Person); hypertension : (Finding); brother : (Person); high cholesterol : (Finding)
"The individual states that their uncle suffered from hypertension and that ""uncle"" and ""individual"" are (Person); ""hypertension"" is (Finding) and refers to ""uncle"" (Person)",individual : (Person); uncle : (Person); hypertension : (Finding)
The individual states that her maternal uncle suffers from hypertension and her father has experienced heart issues.,individual : (Person); maternal uncle : (Person); father : (Person); hypertension : (Finding); heart issues : (Finding)
"The individual mentions that their uncle suffers from hypertension while ""uncle"" and ""individual"" are (Person); ""hypertension"" is (Finding) and refers to ""uncle"" (Person).",uncle : (Person); individual : (Person); hypertension : (Finding)
The individual indicates that her mother and uncle suffered from hypertension.,mother : (Person); uncle : (Person); individual : (Person); hypertension : (Finding)
